ltable_id,rtable_id,gold
3397,3052,1
2809,2834,0
1902,4184,0
599,4201,0
1166,3345,0
520,2114,0
632,2962,0
3206,3060,0
809,4169,0
2244,4640,0
1372,2729,0
1027,2459,1
1947,4114,0
1520,2245,0
2745,2845,0
1852,4825,0
2241,2883,0
1779,4148,0
279,1409,0
733,2425,1
1990,4555,0
2309,4496,0
3510,4908,0
462,35,0
1174,2502,0
2692,3190,1
1406,3943,0
1988,3273,0
2662,1109,0
1783,3688,0
4032,3273,0
1059,3335,0
2273,4796,0
2243,4470,0
962,250,0
3690,2204,0
4041,3815,0
3508,1394,0
3135,3583,0
2922,3035,0
3741,3235,0
2638,1247,0
2321,4979,0
1520,2566,0
1261,2548,1
1295,2326,0
1346,385,0
3505,2301,0
3308,293,0
183,713,1
3209,2336,0
3929,57,0
1148,3413,0
4114,2780,0
4189,3213,0
1099,2424,1
914,1784,0
2880,3497,0
1260,4532,0
3293,2538,0
757,2549,1
1274,2422,0
558,4745,0
1775,3260,0
230,4428,0
3943,3425,0
1430,2277,0
3434,4889,0
1595,4073,0
3992,3603,0
3062,4697,0
1912,3121,1
4039,4084,0
679,2987,0
3505,3435,0
3114,4863,0
1507,2424,1
621,3791,0
3724,2519,0
219,3625,0
757,2548,1
511,1543,0
1999,4080,0
1005,503,0
2491,3966,0
3348,3605,0
3748,2570,1
3092,4594,0
3087,3120,0
393,3249,0
3431,4878,0
1027,2542,1
2,4510,0
375,388,0
480,4453,0
3690,2236,0
707,3817,0
1211,4412,0
856,450,1
3193,1828,0
1728,1792,1
660,4901,0
3476,2699,0
3599,1920,0
607,3326,0
2703,2542,1
2929,3383,0
1396,2545,0
956,2365,0
1766,552,0
624,4698,0
3397,3104,0
3135,3594,0
320,2570,0
3229,3534,0
367,8,0
2932,64,0
1722,2404,0
453,1066,0
2969,2380,0
572,1564,0
2105,4890,0
2155,4200,0
3601,4665,0
264,4702,0
889,2764,0
3114,4576,0
2368,4093,0
1026,4945,0
3978,2426,1
2670,2775,0
884,3056,0
2377,4835,0
183,812,1
173,1251,0
3510,4169,0
2366,4556,0
1248,1672,0
1803,2863,0
1776,4510,0
2139,3046,1
2712,2823,0
3937,4005,0
3757,1773,0
3561,2510,0
2228,2955,1
470,4468,0
1341,4309,0
1408,2204,0
1789,3080,0
3193,3428,1
888,4997,1
1158,742,0
1571,908,0
1291,2560,0
1310,3156,0
513,4887,0
790,1809,1
3291,3384,0
463,1968,0
1176,3844,1
3089,4169,0
3558,2954,0
1069,3059,1
2171,4183,0
3632,3998,0
781,3921,0
2910,818,0
183,657,1
2370,4889,0
3971,3031,0
424,770,0
1307,4644,0
903,2268,0
2377,4223,0
1648,1559,0
3617,4662,0
3267,4718,0
641,1096,0
1661,3661,0
144,991,0
3217,3690,0
1795,4711,0
3717,4166,0
2554,33,0
1642,1995,0
1777,4413,0
3386,3908,1
3303,2326,0
1037,2954,0
2266,3847,1
2463,4283,0
451,101,0
3282,2738,0
830,1463,0
1267,4635,0
1311,775,0
390,419,0
3024,2878,0
2273,3457,0
956,3454,1
3505,4651,0
2396,2459,1
1931,2192,1
266,2069,0
872,256,0
3978,2317,0
2851,2222,1
4082,2359,0
960,755,0
674,3058,0
4029,4973,0
962,135,0
4203,2749,0
231,567,0
708,2549,1
1076,4641,0
1571,1017,0
2670,3066,0
1977,3540,0
888,4459,1
3169,2978,1
3759,4632,0
2925,4600,0
2246,2594,1
4225,2615,0
710,331,1
284,429,1
3172,2881,0
2148,3361,0
721,2915,0
786,2565,1
722,2671,0
716,2413,0
2742,2427,0
1604,4487,0
733,2541,1
1333,4002,0
3261,4472,0
583,4979,0
2292,4444,0
1019,2427,0
3617,4177,0
8,4431,0
214,677,0
2530,4855,0
2528,3257,1
1574,796,0
3978,3701,0
3170,2352,0
3720,3822,0
576,41,0
1164,4158,0
1749,3718,0
2455,420,0
1207,2465,0
1913,4888,0
3093,4221,0
1834,3335,0
615,218,0
1080,1689,0
3992,4034,0
30,4204,0
778,2474,0
3724,1445,0
586,709,0
778,2368,0
1661,3764,0
2332,458,0
2055,2438,1
354,3107,0
1929,3566,0
4138,2409,0
164,677,0
3476,3058,0
2891,4390,0
2093,5,0
2158,4828,0
1937,4,0
1725,2057,0
1897,1500,0
3630,4585,0
4126,812,0
2319,2158,0
219,2671,0
3494,3749,0
2463,4410,0
1964,417,0
1639,800,0
357,129,0
1372,1809,0
3245,1801,1
1953,2822,0
2829,4525,0
3440,4558,0
2823,4624,0
3439,1775,1
1790,2782,1
1625,2608,0
1582,4462,0
4158,4125,0
774,4888,0
1477,2461,1
384,91,1
2929,4372,0
1902,2418,0
583,4518,0
4032,4119,0
2809,4803,0
1569,527,0
845,903,0
745,4225,0
2415,3138,0
624,2461,1
3345,205,0
1599,3064,0
654,3714,0
1567,3066,0
3438,3238,0
1047,4795,0
1728,3384,0
2902,3979,0
3807,2290,0
324,752,0
852,3593,0
1087,2144,0
3231,2461,1
1712,4995,0
1943,4261,0
1321,4640,0
337,4738,0
3888,1410,0
3989,2738,0
2703,2433,1
4029,2874,0
4032,3213,0
2979,4822,0
1873,1028,0
9,2039,0
171,1411,0
126,2032,0
3529,4603,0
1345,3121,0
2388,1280,0
206,1461,0
2480,435,0
3457,823,0
2879,3782,0
2351,26,0
2726,4289,0
3554,4234,0
2115,1688,0
907,737,0
1937,829,0
3910,3614,0
2361,2923,0
1895,1547,0
2835,4635,0
3024,2218,1
3341,2548,1
2142,13,0
3452,1925,0
455,174,0
4107,3049,0
2791,4180,0
2823,4838,0
2792,2461,1
3549,3563,0
2863,3763,0
1046,3917,0
1148,3166,0
1912,2208,1
2155,3673,0
671,4906,0
1011,161,0
4047,3381,0
3246,3878,0
1220,3326,0
3274,1767,0
1185,1406,0
3894,2206,0
4066,3298,0
3291,3126,0
3385,2424,1
984,252,0
358,237,1
1258,4658,0
2395,2549,1
37,631,0
1215,3660,0
1327,4379,0
1034,716,0
2373,870,0
291,3150,0
2714,2476,1
